"tributeId","district","firstName","age","gender","minHydrationThreshold","maxHungerThreshold","maxPainThreshold"
"1","1","Marvel","17","M","6.0","6.5","7.0"
"2","1","Glimmer","17","F","5.0","4.0","7.0"
"3","2","Cato","18","M","5.5","6.0","8.5"
"4","2","Clove","15","F","5.0","5.0","7.5"
"5","5","Foxface","14","F","4.0","6.0","3.0"
"6","11","Thresh","18","M","8.0","8.0","9.0"
"7","11","Rue","12","F","3.0","3.0","5.0"
"8","12","Peeta","16","M","4.0","5.0","6.0"
"9","12","Katniss","16","F","7.0","7.0","7.0"
"10","5","District 5 Male","15","M","5.0","5.0","5.0"
"11","4","District 4 Male","12","M","5.0","5.0","5.0"
"12","4","District 4 Female","16","F","5.0","5.0","5.0"
"13","6","District 6 Male","16","M","5.0","5.0","5.0"
"14","6","District 6 Female","15","F","5.0","5.0","5.0"
"15","7","District 7 Male","17","M","5.0","5.0","5.0"
"16","7","District 7 Female","16","F","5.0","5.0","5.0"
